timestamp,speed,road_closure,vehicle_density,location_name,latitude,longitude,time_of_day,day_of_week
2025-04-29 16:35:00,28.3,False,38.1,Dragon Bridge,16.061025,108.226179,16.583333333333332,1
2025-04-29 16:35:00,23.3,False,36.3,Han River Bridge,16.072118,108.22656,16.583333333333332,1
2025-04-29 16:35:00,21.9,False,49.4,Hue T-junction,16.060478,108.177008,16.583333333333332,1
2025-04-29 16:35:00,26.5,False,46.5,Da Nang station,16.070959,108.209465,16.583333333333332,1
2025-04-29 16:40:00,26.5,False,42.3,Dragon Bridge,16.061025,108.226179,16.666666666666668,1
2025-04-29 16:40:00,24.2,False,36.5,Han River Bridge,16.072118,108.22656,16.666666666666668,1
2025-04-29 16:40:00,21.5,False,36.2,Hue T-junction,16.060478,108.177008,16.666666666666668,1
2025-04-29 16:40:00,23.9,False,39.5,Da Nang station,16.070959,108.209465,16.666666666666668,1
2025-04-29 16:45:00,28.9,False,36.8,Dragon Bridge,16.061025,108.226179,16.75,1
2025-04-29 16:45:00,22.0,False,36.3,Han River Bridge,16.072118,108.22656,16.75,1
2025-04-29 16:45:00,29.4,False,49.8,Hue T-junction,16.060478,108.177008,16.75,1
2025-04-29 16:45:00,25.7,False,40.6,Da Nang station,16.070959,108.209465,16.75,1
2025-04-29 16:50:00,25.3,False,38.1,Dragon Bridge,16.061025,108.226179,16.833333333333332,1
2025-04-29 16:50:00,22.2,False,49.4,Han River Bridge,16.072118,108.22656,16.833333333333332,1
2025-04-29 16:50:00,20.6,False,36.5,Hue T-junction,16.060478,108.177008,16.833333333333332,1
2025-04-29 16:50:00,20.1,False,46.2,Da Nang station,16.070959,108.209465,16.833333333333332,1
2025-04-29 16:55:00,22.5,False,41.8,Dragon Bridge,16.061025,108.226179,16.916666666666668,1
2025-04-29 16:55:00,22.6,False,41.9,Han River Bridge,16.072118,108.22656,16.916666666666668,1
2025-04-29 16:55:00,21.8,False,42.4,Hue T-junction,16.060478,108.177008,16.916666666666668,1
2025-04-29 16:55:00,27.5,False,49.7,Da Nang station,16.070959,108.209465,16.916666666666668,1
2025-04-29 17:00:00,28.2,False,41.7,Dragon Bridge,16.061025,108.226179,17.0,1
2025-04-29 17:00:00,27.8,False,47.6,Han River Bridge,16.072118,108.22656,17.0,1
2025-04-29 17:00:00,26.7,False,42.9,Hue T-junction,16.060478,108.177008,17.0,1
2025-04-29 17:00:00,21.7,False,37.7,Da Nang station,16.070959,108.209465,17.0,1
2025-04-29 17:05:00,29.6,False,36.0,Dragon Bridge,16.061025,108.226179,17.083333333333332,1
2025-04-29 17:05:00,26.2,False,46.0,Han River Bridge,16.072118,108.22656,17.083333333333332,1
2025-04-29 17:05:00,20.8,False,39.6,Hue T-junction,16.060478,108.177008,17.083333333333332,1
2025-04-29 17:05:00,22.2,False,46.7,Da Nang station,16.070959,108.209465,17.083333333333332,1
2025-04-29 17:10:00,27.3,False,40.3,Dragon Bridge,16.061025,108.226179,17.166666666666668,1
2025-04-29 17:10:00,24.1,False,46.3,Han River Bridge,16.072118,108.22656,17.166666666666668,1
2025-04-29 17:10:00,23.0,False,39.8,Hue T-junction,16.060478,108.177008,17.166666666666668,1
2025-04-29 17:10:00,21.9,False,49.4,Da Nang station,16.070959,108.209465,17.166666666666668,1
2025-04-29 17:15:00,26.8,False,46.9,Dragon Bridge,16.061025,108.226179,17.25,1
2025-04-29 17:15:00,27.7,False,49.8,Han River Bridge,16.072118,108.22656,17.25,1
2025-04-29 17:15:00,29.6,False,43.0,Hue T-junction,16.060478,108.177008,17.25,1
2025-04-29 17:15:00,27.4,False,46.1,Da Nang station,16.070959,108.209465,17.25,1
2025-04-29 17:20:00,25.7,False,41.6,Dragon Bridge,16.061025,108.226179,17.333333333333332,1
2025-04-29 17:20:00,21.1,False,48.9,Han River Bridge,16.072118,108.22656,17.333333333333332,1
2025-04-29 17:20:00,25.9,False,48.9,Hue T-junction,16.060478,108.177008,17.333333333333332,1
2025-04-29 17:20:00,23.3,False,38.0,Da Nang station,16.070959,108.209465,17.333333333333332,1
2025-04-29 17:25:00,27.1,False,38.5,Dragon Bridge,16.061025,108.226179,17.416666666666668,1
2025-04-29 17:25:00,24.7,False,46.5,Han River Bridge,16.072118,108.22656,17.416666666666668,1
2025-04-29 17:25:00,20.9,False,39.6,Hue T-junction,16.060478,108.177008,17.416666666666668,1
2025-04-29 17:25:00,27.3,False,35.5,Da Nang station,16.070959,108.209465,17.416666666666668,1
2025-04-29 17:30:00,28.4,False,36.6,Dragon Bridge,16.061025,108.226179,17.5,1
2025-04-29 17:30:00,29.9,False,36.3,Han River Bridge,16.072118,108.22656,17.5,1
2025-04-29 17:30:00,27.1,False,46.3,Hue T-junction,16.060478,108.177008,17.5,1
2025-04-29 17:30:00,23.4,False,43.6,Da Nang station,16.070959,108.209465,17.5,1
2025-04-29 17:35:00,23.0,False,37.6,Dragon Bridge,16.061025,108.226179,17.583333333333332,1
2025-04-29 17:35:00,27.6,False,36.1,Han River Bridge,16.072118,108.22656,17.583333333333332,1
2025-04-29 17:35:00,23.7,False,47.0,Hue T-junction,16.060478,108.177008,17.583333333333332,1
2025-04-29 17:35:00,20.7,False,43.2,Da Nang station,16.070959,108.209465,17.583333333333332,1
2025-04-29 17:40:00,29.5,False,41.5,Dragon Bridge,16.061025,108.226179,17.666666666666668,1
2025-04-29 17:40:00,27.5,False,46.5,Han River Bridge,16.072118,108.22656,17.666666666666668,1
2025-04-29 17:40:00,27.5,False,48.7,Hue T-junction,16.060478,108.177008,17.666666666666668,1
2025-04-29 17:40:00,24.6,False,35.7,Da Nang station,16.070959,108.209465,17.666666666666668,1
2025-04-29 17:45:00,26.9,False,43.1,Dragon Bridge,16.061025,108.226179,17.75,1
2025-04-29 17:45:00,26.3,False,41.9,Han River Bridge,16.072118,108.22656,17.75,1
2025-04-29 17:45:00,25.7,False,46.8,Hue T-junction,16.060478,108.177008,17.75,1
2025-04-29 17:45:00,27.7,False,41.1,Da Nang station,16.070959,108.209465,17.75,1
2025-04-29 17:50:00,27.4,False,35.4,Dragon Bridge,16.061025,108.226179,17.833333333333332,1
2025-04-29 17:50:00,25.8,False,45.5,Han River Bridge,16.072118,108.22656,17.833333333333332,1
2025-04-29 17:50:00,20.8,False,36.0,Hue T-junction,16.060478,108.177008,17.833333333333332,1
2025-04-29 17:50:00,27.1,False,36.3,Da Nang station,16.070959,108.209465,17.833333333333332,1
2025-04-29 17:55:00,26.4,False,42.0,Dragon Bridge,16.061025,108.226179,17.916666666666668,1
2025-04-29 17:55:00,28.2,False,37.9,Han River Bridge,16.072118,108.22656,17.916666666666668,1
2025-04-29 17:55:00,25.1,False,36.2,Hue T-junction,16.060478,108.177008,17.916666666666668,1
2025-04-29 17:55:00,24.6,False,43.8,Da Nang station,16.070959,108.209465,17.916666666666668,1
2025-04-29 18:00:00,22.0,False,41.7,Dragon Bridge,16.061025,108.226179,18.0,1
2025-04-29 18:00:00,24.5,False,49.1,Han River Bridge,16.072118,108.22656,18.0,1
2025-04-29 18:00:00,28.8,False,38.9,Hue T-junction,16.060478,108.177008,18.0,1
2025-04-29 18:00:00,23.5,False,49.0,Da Nang station,16.070959,108.209465,18.0,1
2025-04-29 18:05:00,21.1,False,43.0,Dragon Bridge,16.061025,108.226179,18.08333333333333,1
2025-04-29 18:05:00,21.7,False,37.2,Han River Bridge,16.072118,108.22656,18.08333333333333,1
2025-04-29 18:05:00,27.7,False,45.1,Hue T-junction,16.060478,108.177008,18.08333333333333,1
2025-04-29 18:05:00,22.4,False,38.4,Da Nang station,16.070959,108.209465,18.08333333333333,1
2025-04-29 18:10:00,20.6,False,36.4,Dragon Bridge,16.061025,108.226179,18.166666666666668,1
2025-04-29 18:10:00,24.9,False,49.2,Han River Bridge,16.072118,108.22656,18.166666666666668,1
2025-04-29 18:10:00,22.9,False,36.9,Hue T-junction,16.060478,108.177008,18.166666666666668,1
2025-04-29 18:10:00,26.2,False,41.4,Da Nang station,16.070959,108.209465,18.166666666666668,1
2025-04-29 18:15:00,23.5,False,44.0,Dragon Bridge,16.061025,108.226179,18.25,1
2025-04-29 18:15:00,24.3,False,35.1,Han River Bridge,16.072118,108.22656,18.25,1
2025-04-29 18:15:00,23.4,False,45.5,Hue T-junction,16.060478,108.177008,18.25,1
2025-04-29 18:15:00,21.0,False,38.6,Da Nang station,16.070959,108.209465,18.25,1
2025-04-29 18:20:00,24.9,False,47.2,Dragon Bridge,16.061025,108.226179,18.33333333333333,1
2025-04-29 18:20:00,25.3,False,46.2,Han River Bridge,16.072118,108.22656,18.33333333333333,1
2025-04-29 18:20:00,25.3,False,38.7,Hue T-junction,16.060478,108.177008,18.33333333333333,1
2025-04-29 18:20:00,25.7,False,39.5,Da Nang station,16.070959,108.209465,18.33333333333333,1
2025-04-29 18:25:00,27.6,False,47.4,Dragon Bridge,16.061025,108.226179,18.416666666666668,1
2025-04-29 18:25:00,27.4,False,45.5,Han River Bridge,16.072118,108.22656,18.416666666666668,1
2025-04-29 18:25:00,26.4,False,44.3,Hue T-junction,16.060478,108.177008,18.416666666666668,1
2025-04-29 18:25:00,23.4,False,49.6,Da Nang station,16.070959,108.209465,18.416666666666668,1
2025-04-29 18:30:00,23.0,False,43.9,Dragon Bridge,16.061025,108.226179,18.5,1
2025-04-29 18:30:00,28.5,False,43.2,Han River Bridge,16.072118,108.22656,18.5,1
2025-04-29 18:30:00,24.1,False,37.9,Hue T-junction,16.060478,108.177008,18.5,1
2025-04-29 18:30:00,26.7,False,39.1,Da Nang station,16.070959,108.209465,18.5,1
2025-04-29 18:35:00,25.9,False,35.8,Dragon Bridge,16.061025,108.226179,18.58333333333333,1
2025-04-29 18:35:00,21.3,False,39.7,Han River Bridge,16.072118,108.22656,18.58333333333333,1
2025-04-29 18:35:00,23.5,False,39.8,Hue T-junction,16.060478,108.177008,18.58333333333333,1
2025-04-29 18:35:00,20.3,False,43.3,Da Nang station,16.070959,108.209465,18.58333333333333,1
2025-04-29 18:40:00,26.1,False,45.4,Dragon Bridge,16.061025,108.226179,18.666666666666668,1
2025-04-29 18:40:00,28.9,False,47.9,Han River Bridge,16.072118,108.22656,18.666666666666668,1
2025-04-29 18:40:00,28.6,False,45.8,Hue T-junction,16.060478,108.177008,18.666666666666668,1
2025-04-29 18:40:00,27.1,False,44.0,Da Nang station,16.070959,108.209465,18.666666666666668,1
2025-04-29 18:45:00,21.6,False,46.6,Dragon Bridge,16.061025,108.226179,18.75,1
2025-04-29 18:45:00,20.1,False,46.2,Han River Bridge,16.072118,108.22656,18.75,1
2025-04-29 18:45:00,24.8,False,46.3,Hue T-junction,16.060478,108.177008,18.75,1
2025-04-29 18:45:00,21.4,False,44.1,Da Nang station,16.070959,108.209465,18.75,1
2025-04-29 18:50:00,29.3,False,35.3,Dragon Bridge,16.061025,108.226179,18.83333333333333,1
2025-04-29 18:50:00,23.1,False,46.3,Han River Bridge,16.072118,108.22656,18.83333333333333,1
2025-04-29 18:50:00,29.9,False,36.3,Hue T-junction,16.060478,108.177008,18.83333333333333,1
2025-04-29 18:50:00,25.7,False,35.0,Da Nang station,16.070959,108.209465,18.83333333333333,1
2025-04-29 18:55:00,29.3,False,38.4,Dragon Bridge,16.061025,108.226179,18.916666666666668,1
2025-04-29 18:55:00,27.0,False,37.4,Han River Bridge,16.072118,108.22656,18.916666666666668,1
2025-04-29 18:55:00,20.6,False,39.2,Hue T-junction,16.060478,108.177008,18.916666666666668,1
2025-04-29 18:55:00,25.3,False,40.7,Da Nang station,16.070959,108.209465,18.916666666666668,1
2025-04-29 19:00:00,34.4,False,30.6,Dragon Bridge,16.061025,108.226179,19.0,1
2025-04-29 19:00:00,38.7,False,32.8,Han River Bridge,16.072118,108.22656,19.0,1
2025-04-29 19:00:00,39.2,False,31.3,Hue T-junction,16.060478,108.177008,19.0,1
2025-04-29 19:00:00,38.9,False,25.3,Da Nang station,16.070959,108.209465,19.0,1
2025-04-29 19:05:00,37.3,False,21.1,Dragon Bridge,16.061025,108.226179,19.08333333333333,1
